"sex","age","month","unemployed"
"men","total 15-74 years","2001M01",6.8
"men","total 15-74 years","2001M02",6.4
"men","total 15-74 years","2001M03",6.7
"men","total 15-74 years","2001M04",6.0
"men","total 15-74 years","2001M05",6.3
"men","total 15-74 years","2001M06",7.2
"men","total 15-74 years","2001M07",5.7
"men","total 15-74 years","2001M08",5.5
"men","total 15-74 years","2001M09",5.6
"men","total 15-74 years","2001M10",5.8
"men","total 15-74 years","2001M11",5.6
"men","total 15-74 years","2001M12",5.9
"men","total 15-74 years","2002M01",6.7
"men","total 15-74 years","2002M02",6.7
"men","total 15-74 years","2002M03",6.8
"men","total 15-74 years","2002M04",6.4
"men","total 15-74 years","2002M05",6.3
"men","total 15-74 years","2002M06",7.1
"men","total 15-74 years","2002M07",5.7
"men","total 15-74 years","2002M08",5.8
"men","total 15-74 years","2002M09",6.1
"men","total 15-74 years","2002M10",5.7
"men","total 15-74 years","2002M11",6.1
"men","total 15-74 years","2002M12",6.7
"men","total 15-74 years","2003M01",7.1
"men","total 15-74 years","2003M02",6.8
"men","total 15-74 years","2003M03",7.3
"men","total 15-74 years","2003M04",7.1
"men","total 15-74 years","2003M05",7.0
"men","total 15-74 years","2003M06",8.1
"men","total 15-74 years","2003M07",6.3
"men","total 15-74 years","2003M08",7.0
"men","total 15-74 years","2003M09",6.3
"men","total 15-74 years","2003M10",6.3
"men","total 15-74 years","2003M11",7.5
"men","total 15-74 years","2003M12",7.4
"men","total 15-74 years","2004M01",7.9
"men","total 15-74 years","2004M02",8.6
"men","total 15-74 years","2004M03",8.5
"men","total 15-74 years","2004M04",7.9
"men","total 15-74 years","2004M05",8.3
"men","total 15-74 years","2004M06",8.9
"men","total 15-74 years","2004M07",6.7
"men","total 15-74 years","2004M08",7.1
"men","total 15-74 years","2004M09",7.2
"men","total 15-74 years","2004M10",6.4
"men","total 15-74 years","2004M11",7.2
"men","total 15-74 years","2004M12",7.4
"men","total 15-74 years","2005M01",8.8
"men","total 15-74 years","2005M02",8.6
"men","total 15-74 years","2005M03",8.4
"men","total 15-74 years","2005M04",8.5
"men","total 15-74 years","2005M05",8.3
"men","total 15-74 years","2005M06",9.3
"men","total 15-74 years","2005M07",7.4
"men","total 15-74 years","2005M08",7.0
"men","total 15-74 years","2005M09",7.5
"men","total 15-74 years","2005M10",7.2
"men","total 15-74 years","2005M11",6.3
"men","total 15-74 years","2005M12",7.6
"men","total 15-74 years","2006M01",8.1
"men","total 15-74 years","2006M02",7.1
"men","total 15-74 years","2006M03",8.0
"men","total 15-74 years","2006M04",8.2
"men","total 15-74 years","2006M05",7.1
"men","total 15-74 years","2006M06",8.0
"men","total 15-74 years","2006M07",6.5
"men","total 15-74 years","2006M08",6.0
"men","total 15-74 years","2006M09",6.0
"men","total 15-74 years","2006M10",6.1
"men","total 15-74 years","2006M11",5.9
"men","total 15-74 years","2006M12",6.3
"men","total 15-74 years","2007M01",6.7
"men","total 15-74 years","2007M02",6.4
"men","total 15-74 years","2007M03",7.5
"men","total 15-74 years","2007M04",6.0
"men","total 15-74 years","2007M05",6.0
"men","total 15-74 years","2007M06",7.1
"men","total 15-74 years","2007M07",5.0
"men","total 15-74 years","2007M08",5.1
"men","total 15-74 years","2007M09",5.5
"men","total 15-74 years","2007M10",5.5
"men","total 15-74 years","2007M11",5.2
"men","total 15-74 years","2007M12",4.9
"men","total 15-74 years","2008M01",5.9
"men","total 15-74 years","2008M02",5.7
"men","total 15-74 years","2008M03",6.3
"men","total 15-74 years","2008M04",6.3
"men","total 15-74 years","2008M05",5.8
"men","total 15-74 years","2008M06",7.3
"men","total 15-74 years","2008M07",5.5
"men","total 15-74 years","2008M08",4.9
"men","total 15-74 years","2008M09",5.5
"men","total 15-74 years","2008M10",5.4
"men","total 15-74 years","2008M11",6.0
"men","total 15-74 years","2008M12",6.6
"men","total 15-74 years","2009M01",7.5
"men","total 15-74 years","2009M02",8.1
"men","total 15-74 years","2009M03",8.6
"men","total 15-74 years","2009M04",8.9
"men","total 15-74 years","2009M05",9.4
"men","total 15-74 years","2009M06",10.1
"men","total 15-74 years","2009M07",8.6
"men","total 15-74 years","2009M08",8.4
"men","total 15-74 years","2009M09",8.5
"men","total 15-74 years","2009M10",8.4
"men","total 15-74 years","2009M11",8.6
"men","total 15-74 years","2009M12",9.0
"men","total 15-74 years","2010M01",9.8
"men","total 15-74 years","2010M02",9.4
"men","total 15-74 years","2010M03",9.8
"men","total 15-74 years","2010M04",9.6
"men","total 15-74 years","2010M05",9.3
"men","total 15-74 years","2010M06",9.8
"men","total 15-74 years","2010M07",8.2
"men","total 15-74 years","2010M08",7.6
"men","total 15-74 years","2010M09",8.2
"men","total 15-74 years","2010M10",7.6
"men","total 15-74 years","2010M11",7.7
"men","total 15-74 years","2010M12",7.6
"men","total 15-74 years","2011M01",8.6
"men","total 15-74 years","2011M02",8.3
"men","total 15-74 years","2011M03",8.1
"men","total 15-74 years","2011M04",8.0
"men","total 15-74 years","2011M05",8.4
"men","total 15-74 years","2011M06",9.1
"men","total 15-74 years","2011M07",7.5
"men","total 15-74 years","2011M08",6.9
"men","total 15-74 years","2011M09",7.1
"men","total 15-74 years","2011M10",7.5
"men","total 15-74 years","2011M11",7.2
"men","total 15-74 years","2011M12",7.6
"men","total 15-74 years","2012M01",8.7
"men","total 15-74 years","2012M02",8.5
"men","total 15-74 years","2012M03",8.4
"men","total 15-74 years","2012M04",8.1
"men","total 15-74 years","2012M05",8.9
