sex	age	month	labour status	Unemployed aged 15-74 (LFS), percent
men	total 15-74 years	2001M01	unemployed	6.8
men	total 15-74 years	2001M02	unemployed	6.4
men	total 15-74 years	2001M03	unemployed	6.7
men	total 15-74 years	2001M04	unemployed	6.0
men	total 15-74 years	2001M05	unemployed	6.3
men	total 15-74 years	2001M06	unemployed	7.2
men	total 15-74 years	2001M07	unemployed	5.7
men	total 15-74 years	2001M08	unemployed	5.5
men	total 15-74 years	2001M09	unemployed	5.6
men	total 15-74 years	2001M10	unemployed	5.8
men	total 15-74 years	2001M11	unemployed	5.6
men	total 15-74 years	2001M12	unemployed	5.9
men	total 15-74 years	2002M01	unemployed	6.7
men	total 15-74 years	2002M02	unemployed	6.7
men	total 15-74 years	2002M03	unemployed	6.8
men	total 15-74 years	2002M04	unemployed	6.4
men	total 15-74 years	2002M05	unemployed	6.3
men	total 15-74 years	2002M06	unemployed	7.1
men	total 15-74 years	2002M07	unemployed	5.7
men	total 15-74 years	2002M08	unemployed	5.8
men	total 15-74 years	2002M09	unemployed	6.1
men	total 15-74 years	2002M10	unemployed	5.7
men	total 15-74 years	2002M11	unemployed	6.1
men	total 15-74 years	2002M12	unemployed	6.7
men	total 15-74 years	2003M01	unemployed	7.1
men	total 15-74 years	2003M02	unemployed	6.8
men	total 15-74 years	2003M03	unemployed	7.3
men	total 15-74 years	2003M04	unemployed	7.1
men	total 15-74 years	2003M05	unemployed	7.0
men	total 15-74 years	2003M06	unemployed	8.1
men	total 15-74 years	2003M07	unemployed	6.3
men	total 15-74 years	2003M08	unemployed	7.0
men	total 15-74 years	2003M09	unemployed	6.3
men	total 15-74 years	2003M10	unemployed	6.3
men	total 15-74 years	2003M11	unemployed	7.5
men	total 15-74 years	2003M12	unemployed	7.4
men	total 15-74 years	2004M01	unemployed	7.9
men	total 15-74 years	2004M02	unemployed	8.6
men	total 15-74 years	2004M03	unemployed	8.5
men	total 15-74 years	2004M04	unemployed	7.9
men	total 15-74 years	2004M05	unemployed	8.3
men	total 15-74 years	2004M06	unemployed	8.9
men	total 15-74 years	2004M07	unemployed	6.7
men	total 15-74 years	2004M08	unemployed	7.1
men	total 15-74 years	2004M09	unemployed	7.2
men	total 15-74 years	2004M10	unemployed	6.4
men	total 15-74 years	2004M11	unemployed	7.2
men	total 15-74 years	2004M12	unemployed	7.4
men	total 15-74 years	2005M01	unemployed	8.8
men	total 15-74 years	2005M02	unemployed	8.6
men	total 15-74 years	2005M03	unemployed	8.4
men	total 15-74 years	2005M04	unemployed	8.5
men	total 15-74 years	2005M05	unemployed	8.3
men	total 15-74 years	2005M06	unemployed	9.3
men	total 15-74 years	2005M07	unemployed	7.4
men	total 15-74 years	2005M08	unemployed	7.0
men	total 15-74 years	2005M09	unemployed	7.5
men	total 15-74 years	2005M10	unemployed	7.2
men	total 15-74 years	2005M11	unemployed	6.3
men	total 15-74 years	2005M12	unemployed	7.6
men	total 15-74 years	2006M01	unemployed	8.1
men	total 15-74 years	2006M02	unemployed	7.1
men	total 15-74 years	2006M03	unemployed	8.0
men	total 15-74 years	2006M04	unemployed	8.2
men	total 15-74 years	2006M05	unemployed	7.1
men	total 15-74 years	2006M06	unemployed	8.0
men	total 15-74 years	2006M07	unemployed	6.5
men	total 15-74 years	2006M08	unemployed	6.0
men	total 15-74 years	2006M09	unemployed	6.0
men	total 15-74 years	2006M10	unemployed	6.1
men	total 15-74 years	2006M11	unemployed	5.9
men	total 15-74 years	2006M12	unemployed	6.3
men	total 15-74 years	2007M01	unemployed	6.7
men	total 15-74 years	2007M02	unemployed	6.4
men	total 15-74 years	2007M03	unemployed	7.5
men	total 15-74 years	2007M04	unemployed	6.0
men	total 15-74 years	2007M05	unemployed	6.0
men	total 15-74 years	2007M06	unemployed	7.1
men	total 15-74 years	2007M07	unemployed	5.0
men	total 15-74 years	2007M08	unemployed	5.1
