"ADDRESS" "GEOADDRESS" "MUNICIPALITY" "TYPE" "BALCONY" "CLOSING_PRICE" "INCREASE_ABS" "INCREASE_REL" "PRICE_M2" "ROOMS" "AREA" "DRIFT" "SOLD" "LONGITUDE" "LATITUDE" "ID"
"Kolbäcksgränd 26" "kolbäcksgränd 26, 128 46 bagarmossen, sweden" "Stockholm" "Apartment" "Yes" 3050000 155000 0.0535405872193437 49913.7931034483 2 58 6480 "2023-10-02" 18.1400134 59.2767574 1
"Skoghemsvägen 14" "skoghemsvägen 14, 179 96 svartsjö, sweden" "Ekerö" "Villa" "No" 3750000 -245000 -0.0613266583229036 29813.4328358209 5 134 58196 "2023-10-02" 17.6971245 59.3457024 2
"Sigtunagatan 18" "sigtunagatan 18, 113 22 stockholm, sweden" "Stockholm" "Apartment" "No" 3475000 -25000 -0.00714285714285712 106060.606060606 1 33 8040 "2023-10-02" 18.0410314 59.3423236 3
"Storsegelvägen 12" "storsegelvägen 12, 117 71 stockholm, sweden" "Stockholm" "Apartment" "Yes" 6320000 70000 0.0112000000000001 77160.4938271605 3 81 14915 "2023-10-02" 17.9987645 59.3172926 4
"Norrtullsgatan 30" "norrtullsgatan 30, 113 45 stockholm, sweden" "Stockholm" "Apartment" "No" 2835000 -115000 -0.0389830508474577 89393.9393939394 1 33 2108 "2023-10-02" 18.0457507 59.3488067 5
"Optikvägen 8B" "optikvägen 8b, 181 55 lidingö, sweden" "Lidingö" "Apartment" "Yes" 6900000 10000 0.00145137880986934 81058.8235294118 4 85 20684 "2023-10-01" 18.1560127 59.3440007 6
"Ankdammsgatan 33" "ankdammsgatan 33, 171 67 solna, sweden" "Solna" "Apartment" "Yes" 4300000 305000 0.0763454317897372 42052.6315789474 4 95 6000 "2023-10-01" 17.9867756 59.3576795 7
"Auravägen 39" "auravägen 39, 182 68 djursholm, sweden" "Danderyd" "Apartment" "Yes" 4600000 -195000 -0.040667361835245 72983.2572298326 3 65.7 10289 "2023-10-01" 18.0862637 59.4001484 8
"Ekhagsvägen 10 " "ekhagsvägen 10, 114 18 stockholm, sweden" "Stockholm" "Apartment" "Yes" 2400000 105000 0.0457516339869282 99782.6086956522 1 23 7473 "2023-10-01" 18.0554089 59.371993 9
"Ringvägen 1L" "ringvägen 1l, 147 70 grödinge, sweden" "Botkyrka" "Apartment" "Yes" 1550000 -145000 -0.0855457227138643 36063.829787234 2 47 8282 "2023-10-01" 17.7962825 59.1650433 10
"Stenbrottsgatan 1" "stenbrottsgatan 1, 172 77 sundbyberg, sweden" "Sundbyberg" "Apartment" "Yes" 4370000 75000 0.0174621653084983 64104.4776119403 3 67 13231 "2023-10-01" 17.9717868 59.366776 11
"Aron Lindgrens Väg 10" "aron lindgrens väg 10, 176 68 järfälla, sweden" "Järfälla" "Apartment" "Yes" 2995000 0 0 45037.5939849624 2 66.5 2880 "2023-10-01" 17.7948445 59.4525404 12
"Infanterigatan 23, vån 10" "infanterigatan 23, vån 10, 171 59 solna, sweden" "Solna" "Apartment" "Yes" 4050000 55000 0.0137672090112642 49627.3291925466 3 80.5 10620 "2023-10-01" 17.9997436 59.3511142 13
"Solbergsvägen 62 - \" "solbergsvägen 62, 168 66 bromma, sweden" "Stockholm" "Villa" "No" 10700000 2450000 0.296969696969697 35560.3448275862 8 232 64500 "2023-10-01" 17.949283 59.3603707 14
"Bergsvägen 8" "bergsvägen 8, 141 71 segeltorp, sweden" "Huddinge" "Villa" "No" 8e+06 1705000 0.270849880857824 44330.985915493 5 142 45435 "2023-10-01" 17.9516518 59.2821761 15
"Milles väg 42" "milles väg 42, 186 50 vallentuna, sweden" "Vallentuna" "Villa" "Yes" 13200000 -1795000 -0.119706568856285 66941.9642857143 7 224 58515 "2023-10-01" 18.0546508 59.517231 16
"Sikvägen 44" "sikvägen 44, 135 41 tyresö, sweden" "Tyresö" "Apartment" "No" 2050000 55000 0.0275689223057645 33813.5593220339 2 59 12538 "2023-10-01" 18.2370019 59.2462391 17
"Vallhöjdsvägen 27" "vallhöjdsvägen 27, 153 38 järna, sweden" "Södertälje" "Apartment" "Yes" 2295000 0 0 44134.6153846154 2 52 7100 "2023-10-01" 17.5344741 59.1093561 18
"Nytorpsvägen 5A" "nytorpsvägen 5a, 142 63 trångsund, sweden" "Huddinge" "Villa" "No" 7670000 -330000 -0.04125 57142.8571428571 10 140 41861 "2023-10-01" 18.1426804 59.2269014 19
"Vädurens gata 221" "vädurens gata 221, 136 63 haninge, sweden" "Haninge" "Apartment" "Yes" 1400000 0 0 16867.4698795181 3 83 7200 "2023-10-01" 18.1677458 59.1690139 20
"Garvis Carlssons gata 24, plan 6" "garvis carlssons gata 24, 169 41 solna, sweden" "Solna" "Apartment" "Yes" 3600000 105000 0.0300429184549356 55476.1904761905 2 63 8412 "2023-10-01" 17.9962191 59.3621863 21
"Grevgatan 23 C" "grevgatan 23c, 114 53 stockholm, sweden" "Stockholm" "Apartment" "No" 4800000 50000 0.0105263157894737 118750 2 40 3120 "2023-10-01" 18.0840807 59.3341456 22
"Lugnets allé 23, 5tr" "lugnets allé 23, 5tr, 120 65 stockholm, sweden" "Stockholm" "Apartment" "Yes" 7700000 705000 0.100786275911365 67912.6213592233 4 103 1800 "2023-10-01" 18.1029248 59.3026527 23
